"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
162.85;124;109;90;75;;;;;;;13;17;;;;;;;
163.66;127;107;86;74;;;;;;;13;17;;;;;;;
164.47;127;110;92;73;;;;;;;13;17;;;"Optimize Signal Quality";;;;
165.27;127;110;92;73;;;;;;;13;17;;;;;;;
166.10;127;110;92;72;;;;;;;13;17;;;;;;;
166.88;127;110;92;77;;;;;;;13;17;;;;;;;
167.66;127;110;92;77;;;;;;;13;17;;;;;;;
168.44;127;110;92;77;;;;;;;13;17;;;;;;;
169.27;134;119;86;73;;;;;;;13;17;;;;;;;
170.02;130;110;89;73;;;;;;;13;17;;;;;;;
170.77;135;113;90;73;;;;;;;13;17;;;;;;;
171.49;134;114;93;83;;;;;;;13;17;;;;;;;
172.19;131;113;93;86;;;;;;;13;17;;;;;;;
172.88;130;112;93;86;;;;;;;13;17;;;;;;;
173.57;130;113;94;87;;;;;;;13;17;;;;;;;
174.29;135;114;93;83;;;;;;;13;17;;;;;;;
175.06;134;114;93;78;;;;;;;13;22;;;;;;;
175.80;129;113;94;81;;;;;;;13;22;;;;;;;
176.56;132;112;90;79;;;;;;;18;22;;;;;;;
177.34;132;113;91;77;;;;;;;18;22;;;;;;;
178.09;127;113;94;80;;;;;;;18;22;;;;;;;
178.87;133;112;90;79;;;;;;;18;22;;;;;;;
179.65;130;112;90;75;;;;;;;18;22;;;;;;;
180.40;126;112;93;80;;;;;;;18;22;;;;;;;
181.17;131;110;89;78;;;;;;;18;22;;;;;;;
181.97;129;110;87;75;;;;;;;18;21;;;;;;;
182.73;125;109;90;78;;;;;;;18;21;;;;;;;
183.53;127;108;86;77;;;;;;;22;21;;;;;;;
184.33;126;107;87;74;;;;;;;22;21;;;;;;;
185.09;126;108;89;78;;;;;;;22;21;;;;;;;
185.90;128;108;87;75;;;;;;;22;21;;;;;;;
186.70;124;107;87;75;;;;;;;22;21;;;;;;;
187.47;124;107;87;78;;;;;;;22;21;;;;;;;
188.25;126;107;86;77;;;;;;;22;21;;;;;;;
189.01;124;107;87;79;;;;;;;22;19;;;;;;;
189.76;125;107;87;80;;;;;;;14;19;;;;;;;
190.54;127;108;87;78;;;;;;;14;19;;;;;;;
191.31;125;108;89;78;;;;;;;14;19;;;;;;;
192.06;127;108;88;79;;;;;;;14;19;;;;;;;
192.85;126;108;88;77;;;;;;;14;19;;;;;;;
193.62;123;107;89;77;;;;;;;14;19;;;;;;;
194.39;124;106;87;78;;;;;;;14;19;;;;;;;
195.17;125;107;87;76;;;;;;;14;12;;;;;;;
195.96;121;105;87;77;;;;;;;14;12;;;;;;;
196.74;123;104;84;77;;;;;;;10;12;;;;;;;
197.53;123;105;84;75;;;;;;;10;12;;;;;;;
198.30;120;104;85;78;;;;;;;10;12;;;;;;;
199.09;121;103;84;77;;;;;;;10;12;;;;;;;
199.88;120;103;85;76;;;;;;;10;12;;;;;;;
200.63;120;103;83;80;;;;;;;10;12;;;;;;;
201.42;119;100;80;76;;;;;;;10;11;;;;;;;
202.21;119;101;81;77;;;;;;;10;11;;;;;;;
202.95;119;101;82;80;;;;;;;10;11;;;;;;;
203.72;119;101;80;78;;;;;;;11;11;;;;;;;
204.48;123;103;82;80;;;;;;;11;11;;;"Optimize Signal Quality";;;;
205.18;123;103;82;80;;;;;;;11;11;;;;;;;
