経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
50.813, 3.6181, 0.0000, 5.7671, 1.0038, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.65, 86.42, 0.8435, 0.5371, 1.9433, 3.0519, 1.0651, 691.0000, 0.0000, 0, 21, 0.6953, 9.4294, 8.7340, 2.7712, 0.3849, 0.6151, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
51.611, 3.4654, 86.1258, 5.8775, 1.5056, 3.4654, 86.1258, 5.8775, 0.9979, 0.0651, 123.17, 85.65, 0.9979, 0.0651, 0.2257, 3.4581, 0.8430, 732.0000, 696.6556, 1, 22, 0.8329, 9.7528, 8.9199, 2.5914, 0.4030, 0.5970, 123.17, 85.65, 123.17, 85.65, 0, 0, 0, 1, ok, ok, 98.1555, 37.5263, 98.1572, 36.7248, 98.1572, 36.7248, 122.64, 85.92, 122.64, 85.92, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
52.314, 3.0804, 0.0000, 6.7328, 0.7343, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.17, 85.65, 0.6701, 0.7423, 2.2864, 2.0642, 1.2095, 665.0000, 0.0000, 0, 20, 0.8016, 9.7726, 8.9709, 2.4914, 0.2992, 0.7008, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
52.946, 3.6242, 0.0000, 3.2384, 1.5990, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.17, 85.65, 0.9996, -0.0282, -0.1021, 3.6227, 1.3252, 780.0000, 0.0000, 0, 23, 0.3312, 8.9747, 8.6435, 2.8850, 0.3590, 0.6410, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
53.653, 3.9044, 87.4053, 4.3905, 1.1074, 3.9044, 87.4053, 4.3905, 0.8945, 0.4470, 124.52, 84.97, 0.8945, 0.4470, 1.7454, 3.4926, 0.5998, 699.0000, 686.4569, 1, 21, 0.5281, 9.2592, 8.7311, 2.8253, 0.3333, 0.6667, 124.52, 84.97, 124.52, 84.97, 0, 0, 0, 1, ok, ok, 98.1519, 39.5573, 98.1556, 38.1410, 98.1556, 38.1410, 123.58, 85.44, 123.58, 85.44, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
54.392, 4.0036, 86.1786, 3.5766, 1.7478, 4.0036, 86.1786, 3.5766, 0.9844, -0.1760, 121.80, 86.35, 0.9844, -0.1760, -0.7048, 3.9411, 0.9981, 648.0000, 696.2285, 1, 20, 0.4216, 9.3738, 8.9522, 3.0018, 0.3843, 0.6157, 121.80, 86.35, 121.80, 86.35, 0, 0, 0, 1, ok, ok, 98.1683, 35.4550, 98.1594, 36.7980, 98.1594, 36.7980, 122.69, 85.89, 122.69, 85.89, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
55.119, 4.1484, 83.4360, 4.5264, 1.5568, 4.1484, 83.4360, 4.5264, 0.9996, 0.0140, 120.97, 86.76, 0.9999, 0.0140, 0.0580, 4.1480, 0.7663, 718.0000, 719.1142, 1, 21, 0.4039, 9.4698, 9.0659, 3.0318, 0.4401, 0.5599, 120.97, 86.76, 120.97, 86.76, 0, 0, 1, 1, sinPhi:0.9999->0.9996, ok, 98.1619, 34.2146, 98.1602, 35.5063, 98.1602, 35.5063, 121.83, 86.32, 121.83, 86.32, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
55.924, 3.9335, 82.9237, 4.9557, 1.3609, 3.9335, 82.9237, 4.9557, 0.9780, 0.2084, 122.06, 86.21, 0.9780, 0.2084, 0.8197, 3.8471, 0.9015, 724.0000, 723.5571, 1, 22, 0.4279, 9.4880, 9.0602, 2.9238, 0.3923, 0.6077, 122.06, 86.21, 122.06, 86.21, 0, 0, 0, 1, ok, ok, 98.1580, 35.8545, 98.1595, 35.6804, 98.1595, 35.6804, 121.95, 86.27, 121.95, 86.27, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
56.616, 3.9113, 0.0000, 5.1010, 1.1755, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.06, 86.21, 0.9229, 0.3851, 1.5061, 3.6097, 1.0161, 736.0000, 0.0000, 0, 22, 0.4401, 9.4498, 9.0097, 2.9465, 0.3709, 0.6291, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
57.422, 4.1025, 81.9236, 4.5204, 1.1353, 4.1025, 81.9236, 4.5204, 0.9067, 0.4219, 123.12, 85.67, 0.9067, 0.4219, 1.7307, 3.7195, 0.8616, 778.0000, 732.3893, 1, 23, 0.4545, 9.4071, 8.9526, 3.0261, 0.3599, 0.6401, 123.12, 85.67, 123.12, 85.67, 0, 0, 0, 1, ok, ok, 98.1533, 37.4540, 98.1576, 36.5672, 98.1576, 36.5672, 122.54, 85.97, 122.54, 85.97, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
58.151, 4.1364, 79.1354, 4.7466, 1.2720, 4.1364, 79.1354, 4.7466, 0.9557, 0.2944, 121.62, 86.43, 0.9557, 0.2944, 1.2178, 3.9531, 0.8270, 715.0000, 758.1946, 1, 22, 0.4826, 9.4735, 8.9909, 3.0396, 0.3413, 0.6587, 121.62, 86.43, 121.62, 86.43, 0, 0, 0, 1, ok, ok, 98.1576, 35.1908, 98.1576, 35.8790, 98.1576, 35.8790, 122.08, 86.20, 122.08, 86.20, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
