経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, SBP_process, DBP_process, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
28.237, 9.0543, 81.6300, -0.6364, -0.3623, 9.0543, 81.6300, -0.6364, -0.3623, 114.89, 89.75, 114.89, 89.75, 704.0000, 735.0235, 1, 114.89, 89.75, 0, 0, 1, ok, ok, 98.1278, 25.1413, 98.1302, 25.4945, 98.1302, 25.4945, 115.13, 89.63, 115.13, 89.63, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
28.934, 8.9413, 83.3899, -0.6563, -0.3750, 8.9413, 83.3899, -0.6563, -0.3750, 114.52, 89.93, 114.52, 89.93, 715.0000, 719.5118, 1, 114.52, 89.93, 0, 0, 1, ok, ok, 98.1255, 24.5865, 98.1288, 25.0405, 98.1288, 25.0405, 114.82, 89.78, 114.82, 89.78, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
29.634, 8.9900, 83.6522, -0.6462, -0.3231, 8.9900, 83.6522, -0.6462, -0.3231, 113.71, 90.32, 113.71, 90.32, 688.0000, 717.2559, 1, 113.71, 90.32, 0, 0, 1, ok, ok, 98.1205, 23.3892, 98.1263, 24.2148, 98.1263, 24.2148, 114.27, 90.05, 114.27, 90.05, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
30.340, 8.8505, 85.3937, -0.6715, -0.3358, 8.8505, 85.3937, -0.6715, -0.3358, 113.36, 90.50, 113.36, 90.50, 717.0000, 702.6279, 1, 113.36, 90.50, 0, 0, 1, ok, ok, 98.1183, 22.8682, 98.1239, 23.5415, 98.1239, 23.5415, 113.82, 90.28, 113.82, 90.28, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
31.071, 8.9898, 84.5292, -0.6430, -0.3222, 8.9898, 84.5292, -0.6430, -0.3222, 113.39, 90.48, 113.39, 90.48, 715.0000, 709.8140, 1, 113.39, 90.48, 0, 0, 1, ok, ok, 98.1186, 22.9104, 98.1223, 23.2260, 98.1223, 23.2260, 113.61, 90.38, 113.61, 90.38, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
31.804, 9.1945, 84.2215, -0.6462, -0.3692, 9.1945, 84.2215, -0.6462, -0.3692, 114.10, 90.14, 114.10, 90.14, 745.0000, 712.4070, 1, 114.10, 90.14, 0, 0, 1, ok, ok, 98.1237, 23.9656, 98.1227, 23.5958, 98.1227, 23.5958, 113.85, 90.26, 113.85, 90.26, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
32.543, 9.1588, 82.3380, -0.5745, -0.3544, 9.1588, 82.3380, -0.5745, -0.3544, 114.37, 90.00, 114.37, 90.00, 730.0000, 728.7035, 1, 114.37, 90.00, 0, 0, 1, ok, ok, 98.1248, 24.3669, 98.1234, 23.9813, 98.1234, 23.9813, 114.11, 90.13, 114.11, 90.13, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
33.308, 9.1090, 82.2648, -0.6767, -0.4068, 9.1090, 82.2648, -0.6767, -0.4068, 115.36, 89.52, 115.36, 89.52, 756.0000, 729.3517, 1, 115.36, 89.52, 0, 0, 1, ok, ok, 98.1312, 25.8358, 98.1257, 24.9085, 98.1257, 24.9085, 114.73, 89.82, 114.73, 89.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
34.077, 9.1773, 80.7889, -0.6548, -0.3492, 9.1773, 80.7889, -0.6548, -0.3492, 115.04, 89.67, 115.04, 89.67, 764.0000, 742.6759, 1, 115.04, 89.67, 0, 0, 1, ok, ok, 98.1290, 25.3666, 98.1267, 25.1376, 98.1267, 25.1376, 114.89, 89.75, 114.89, 89.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
34.849, 9.0301, 79.6455, -0.6479, -0.3455, 9.0301, 79.6455, -0.6479, -0.3455, 115.38, 89.50, 115.38, 89.50, 784.0000, 753.3379, 1, 115.38, 89.50, 0, 0, 1, ok, ok, 98.1306, 25.8788, 98.1279, 25.5082, 98.1279, 25.5082, 115.13, 89.63, 115.13, 89.63, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
