経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
15.505, 4.3071, 73.9089, 4.6212, 1.3021, 4.3071, 73.9089, 4.6212, 0.9641, 0.2655, 117.65, 88.38, 117.65, 88.38, 0.9641, 0.2655, 1.1436, 4.1525, 0.7904, 814.0000, 811.8103, 1, 25, 0.4082, 9.5928, 9.1846, 3.1465, 0.3342, 0.6658, 117.65, 88.38, 117.65, 88.38, 0, 0, 0, 1, ok, ok, 98.1385, 29.2643, 98.1370, 29.2214, 98.1370, 29.2214, 117.62, 88.40, 117.62, 88.40, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
16.308, 4.3585, 75.6711, 5.3023, 1.2873, 4.3585, 75.6711, 5.3023, 0.9601, 0.2797, 117.91, 88.25, 117.91, 88.25, 0.9601, 0.2797, 1.2191, 4.1846, 0.7570, 810.0000, 792.9051, 1, 24, 0.3761, 9.7572, 9.3811, 3.1736, 0.3778, 0.6222, 117.91, 88.25, 117.91, 88.25, 0, 0, 0, 1, ok, ok, 98.1377, 29.6526, 98.1372, 29.4370, 98.1372, 29.4370, 117.76, 88.32, 117.76, 88.32, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.073, 4.0613, 0.0000, 6.1367, 0.8931, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 117.91, 88.25, 117.91, 88.25, 0.7790, 0.6270, 2.5464, 3.1638, 1.1477, 772.0000, 0.0000, 0, 23, 0.5813, 9.7532, 9.1719, 3.0926, 0.3484, 0.6516, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.840, 4.6483, 75.5928, 4.7895, 1.4249, 4.6483, 75.5928, 4.7895, 0.9894, 0.1454, 118.33, 88.05, 118.33, 88.05, 0.9894, 0.1454, 0.6758, 4.5990, 0.5703, 804.0000, 793.7263, 1, 24, 0.1735, 9.6206, 9.4471, 3.3360, 0.4204, 0.5796, 118.33, 88.05, 118.33, 88.05, 0, 0, 0, 1, ok, ok, 98.1416, 30.2756, 98.1385, 29.8563, 98.1385, 29.8563, 118.04, 88.19, 118.04, 88.19, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
18.573, 4.5066, 77.5832, 5.5733, 1.0959, 4.5066, 77.5832, 5.5733, 0.8894, 0.4572, 117.43, 88.48, 117.43, 88.48, 0.8894, 0.4572, 2.0605, 4.0080, 0.8436, 792.0000, 773.3631, 1, 24, 0.4590, 9.6895, 9.2305, 3.2964, 0.3649, 0.6351, 117.43, 88.48, 117.43, 88.48, 0, 0, 0, 1, ok, ok, 98.1310, 28.9431, 98.1363, 29.3997, 98.1363, 29.3997, 117.74, 88.34, 117.74, 88.34, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
19.308, 4.3751, 79.0325, 5.7036, 0.8490, 4.3751, 79.0325, 5.7036, 0.7506, 0.6608, 116.67, 88.85, 116.67, 88.85, 0.7506, 0.6608, 2.8909, 3.2839, 0.8879, 750.0000, 759.1816, 1, 22, 0.5644, 9.5670, 9.0026, 3.2186, 0.3813, 0.6187, 116.67, 88.85, 116.67, 88.85, 0, 0, 0, 1, ok, ok, 98.1255, 27.8137, 98.1330, 28.6067, 98.1330, 28.6067, 117.20, 88.60, 117.20, 88.60, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
20.003, 4.1163, 81.1808, 5.3327, 1.2459, 4.1163, 81.1808, 5.3327, 0.9477, 0.3192, 115.80, 89.29, 115.80, 89.29, 0.9477, 0.3192, 1.3141, 3.9009, 0.8820, 749.0000, 739.0908, 1, 23, 0.5447, 9.6989, 9.1542, 3.0414, 0.3672, 0.6328, 115.80, 89.29, 115.80, 89.29, 0, 0, 0, 1, ok, ok, 98.1250, 26.5177, 98.1306, 27.5622, 98.1306, 27.5622, 116.51, 88.94, 116.51, 88.94, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
20.710, 3.7189, 0.0000, 6.0963, 1.0889, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 115.80, 89.29, 115.80, 89.29, 0.8861, 0.4634, 1.7234, 3.2954, 1.0480, 713.0000, 0.0000, 0, 21, 0.5790, 9.5970, 9.0180, 2.8308, 0.3843, 0.6157, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
22.220, 3.5906, 0.0000, 6.1816, 1.1876, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 115.80, 89.29, 115.80, 89.29, 0.9275, 0.3739, 1.3426, 3.3301, 1.0505, 720.0000, 0.0000, 0, 22, 0.5284, 9.6534, 9.1250, 2.7477, 0.3931, 0.6069, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
22.981, 3.8266, 0.0000, 6.0204, 1.1666, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 115.80, 89.29, 115.80, 89.29, 0.9194, 0.3933, 1.5051, 3.5182, 1.0543, 723.0000, 0.0000, 0, 22, 0.6333, 9.5797, 8.9464, 2.9040, 0.3928, 0.6072, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
