"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
164.44;152;118;89;77;;;;;;;9;13;;;;;;;
165.28;150;115;86;71;;;;;;;9;13;;;;;;;
166.05;146;116;89;78;;;;;;;9;13;;;;;;;
166.87;150;115;87;73;;;;;;;9;13;;;;;;;
167.68;147;115;87;73;;;;;;;9;13;;;;;;;
168.45;151;119;95;79;;;;;;;9;13;;;;;;;
169.25;151;118;88;75;;;;;;;9;13;;;;;;;
170.06;150;119;91;74;;;;;;;9;13;;;;;;;
170.86;150;120;92;74;;;;;;;9;13;;;"Optimize Signal Quality";;;;
171.64;150;120;92;74;;;;;;;9;13;;;;;;;
172.40;150;120;92;79;;;;;;;9;13;;;;;;;
173.18;150;120;92;77;;;;;;;9;13;;;;;;;
173.98;150;120;92;75;;;;;;;9;13;;;;;;;
174.77;150;120;92;76;;;;;;;9;13;;;;;;;
175.53;150;120;92;79;;;;;;;9;13;;;;;;;
