経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
43.836, 4.2248, 81.2146, 6.0604, 1.2903, 4.2248, 81.2146, 6.0604, 0.9609, 0.2768, 121.58, 86.43, 0.9609, 0.2768, 1.1695, 4.0597, 0.7503, 656.0000, 738.7831, 1, 20, 0.6174, 9.8482, 9.2308, 3.0802, 0.4421, 0.5579, 121.58, 86.43, 121.58, 86.43, 0, 0, 0, 1, ok, ok, 98.1465, 35.1534, 98.1453, 35.5153, 98.1453, 35.5153, 121.82, 86.31, 121.82, 86.31, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
44.477, 3.6915, 93.5466, 3.9989, 1.4384, 3.6915, 93.5466, 3.9989, 0.9913, 0.1320, 123.52, 85.48, 0.9913, 0.1320, 0.4872, 3.6592, 0.9237, 811.0000, 641.3916, 1, 25, 0.2873, 9.6171, 9.3298, 2.7689, 0.4661, 0.5339, 123.52, 85.48, 123.52, 85.48, 0, 0, 0, 1, ok, ok, 98.1631, 38.0395, 98.1507, 36.7774, 98.1507, 36.7774, 122.67, 85.89, 122.67, 85.89, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
45.274, 4.0258, 0.0000, 4.2062, 2.4285, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.52, 85.48, 0.6542, -0.7563, -3.0449, 2.6336, 0.9545, 549.0000, 0.0000, 0, 16, 0.5687, 9.7399, 9.1712, 3.0024, 0.5647, 0.4353, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
45.838, 4.2978, 83.3220, 5.9212, 1.2077, 4.2978, 83.3220, 5.9212, 0.9348, 0.3552, 122.23, 86.10, 0.9348, 0.3552, 1.5265, 4.0176, 0.6547, 653.0000, 720.0979, 1, 20, 0.6462, 9.8114, 9.1652, 3.1088, 0.3844, 0.6156, 122.23, 86.10, 122.23, 86.10, 0, 0, 0, 1, ok, ok, 98.1433, 36.1259, 98.1485, 36.4517, 98.1485, 36.4517, 122.45, 86.00, 122.45, 86.00, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
46.507, 4.5711, 94.7794, 4.8951, 1.7682, 4.5711, 94.7794, 4.8951, 0.9806, -0.1961, 121.48, 86.48, 0.9806, -0.1961, -0.8963, 4.4824, 0.3069, 785.0000, 633.0489, 1, 24, 0.3968, 9.7714, 9.3746, 3.2468, 0.4815, 0.5185, 121.48, 86.48, 121.48, 86.48, 0, 0, 0, 1, ok, ok, 98.1493, 34.9945, 98.1487, 35.7231, 98.1487, 35.7231, 121.96, 86.24, 121.96, 86.24, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
47.270, 3.6277, 90.9746, 6.3673, 1.6201, 3.6277, 90.9746, 6.3673, 0.9988, -0.0493, 123.25, 85.60, 0.9988, -0.0493, -0.1787, 3.6233, 0.4846, 552.0000, 659.5245, 1, 16, 1.8566, 9.7944, 7.9378, 2.6105, 0.5091, 0.4909, 123.25, 85.60, 123.25, 85.60, 0, 0, 0, 1, ok, ok, 98.1486, 37.6529, 98.1487, 36.6880, 98.1487, 36.6880, 122.61, 85.92, 122.61, 85.92, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
47.842, 4.5679, 84.4164, 5.7168, 1.5134, 4.5679, 84.4164, 5.7168, 0.9984, 0.0573, 120.13, 87.16, 0.9984, 0.0573, 0.2618, 4.5604, 0.5113, 683.0000, 710.7622, 1, 21, 0.6703, 9.8382, 9.1680, 3.2702, 0.3924, 0.6076, 120.13, 87.16, 120.13, 87.16, 0, 0, 0, 1, ok, ok, 98.1490, 32.9681, 98.1488, 34.8281, 98.1488, 34.8281, 121.37, 86.54, 121.37, 86.54, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
48.576, 4.3425, 93.1126, 5.1834, 1.6123, 4.3425, 93.1126, 5.1834, 0.9991, -0.0415, 121.60, 86.43, 0.9991, -0.0415, -0.1804, 4.3388, 0.2774, 777.0000, 644.3811, 1, 23, 0.4794, 9.6861, 9.2067, 3.0831, 0.4839, 0.5161, 121.60, 86.43, 121.60, 86.43, 0, 0, 0, 1, ok, ok, 98.1508, 35.1681, 98.1494, 34.9981, 98.1494, 34.9981, 121.48, 86.48, 121.48, 86.48, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
49.219, 4.1241, 87.8875, 5.3615, 1.8645, 4.1241, 87.8875, 5.3615, 0.9572, -0.2895, 122.29, 86.08, 0.9572, -0.2895, -1.1941, 3.9475, 0.5006, 560.0000, 682.6906, 1, 17, 0.7139, 9.8021, 9.0882, 2.9588, 0.5054, 0.4946, 122.29, 86.08, 122.29, 86.08, 0, 0, 0, 1, ok, ok, 98.1512, 36.2118, 98.1499, 35.6049, 98.1499, 35.6049, 121.89, 86.28, 121.89, 86.28, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
49.851, 4.4679, 89.4394, 5.6390, 1.5806, 4.4679, 89.4394, 5.6390, 0.9996, -0.0098, 120.89, 86.78, 1.0000, -0.0098, -0.0439, 4.4677, 0.4663, 720.0000, 670.8453, 1, 21, 0.7233, 9.8389, 9.1156, 3.1935, 0.4778, 0.5222, 120.89, 86.78, 120.89, 86.78, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 98.1482, 34.1117, 98.1494, 34.8583, 98.1494, 34.8583, 121.39, 86.53, 121.39, 86.53, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
