経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
16.518, 4.3521, 76.7851, 4.5811, 1.3465, 4.3521, 76.7851, 4.5811, 0.9749, 0.2225, 116.98, 88.71, 116.98, 88.71, 0.9749, 0.2225, 0.9682, 4.2431, 0.3755, 831.0000, 781.4016, 1, 25, 0.3112, 9.7189, 9.4077, 3.1002, 0.4404, 0.5596, 116.98, 88.71, 116.98, 88.71, 0, 0, 0, 1, ok, ok, 98.1344, 28.2690, 98.1438, 29.8959, 98.1438, 29.8959, 118.07, 88.18, 118.07, 88.18, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.305, 4.4715, 82.7928, 4.3638, 2.0484, 4.4715, 82.7928, 4.3638, 0.8881, -0.4596, 118.65, 87.91, 118.65, 87.91, 0.8881, -0.4596, -2.0552, 3.9712, 0.7321, 777.0000, 724.7008, 1, 23, 0.3552, 9.8291, 9.4740, 3.2455, 0.4672, 0.5328, 118.65, 87.91, 118.65, 87.91, 0, 0, 0, 1, ok, ok, 98.1580, 30.7370, 98.1481, 30.3165, 98.1481, 30.3165, 118.36, 88.04, 118.36, 88.04, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
18.085, 3.3268, 80.3374, 7.0648, 1.3088, 3.3268, 80.3374, 7.0648, 0.9659, 0.2590, 116.77, 88.81, 116.77, 88.81, 0.9659, 0.2590, 0.8617, 3.2132, 0.8405, 666.0000, 746.8504, 1, 20, 1.7447, 9.8762, 8.1315, 2.4980, 0.4505, 0.5495, 116.77, 88.81, 116.77, 88.81, 0, 0, 0, 1, ok, ok, 98.1329, 27.9600, 98.1435, 29.1382, 98.1435, 29.1382, 117.57, 88.43, 117.57, 88.43, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
18.785, 4.3703, 77.8791, 6.0074, 1.3401, 4.3703, 77.8791, 6.0074, 0.9735, 0.2287, 118.20, 88.11, 118.20, 88.11, 0.9735, 0.2287, 0.9995, 4.2545, 0.8431, 767.0000, 770.4252, 1, 23, 0.4225, 9.7692, 9.3467, 3.2032, 0.4407, 0.5593, 118.20, 88.11, 118.20, 88.11, 0, 0, 0, 1, ok, ok, 98.1383, 30.0960, 98.1419, 29.6171, 98.1419, 29.6171, 117.89, 88.27, 117.89, 88.27, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
19.583, 4.5703, 81.9994, 5.5438, 1.3010, 4.5703, 81.9994, 5.5438, 0.9638, 0.2665, 116.71, 88.84, 116.71, 88.84, 0.9638, 0.2665, 1.2180, 4.4050, 0.4218, 782.0000, 731.7126, 1, 24, 0.5034, 9.8076, 9.3042, 3.2591, 0.4361, 0.5639, 116.71, 88.84, 116.71, 88.84, 0, 0, 0, 1, ok, ok, 98.1278, 27.8740, 98.1377, 28.7456, 98.1377, 28.7456, 117.30, 88.56, 117.30, 88.56, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
20.388, 4.2990, 79.3802, 5.0881, 1.3527, 4.2990, 79.3802, 5.0881, 0.9763, 0.2163, 116.70, 88.85, 116.70, 88.85, 0.9763, 0.2163, 0.9300, 4.1972, 0.3710, 697.0000, 755.8563, 1, 21, 0.4312, 9.3681, 8.9369, 3.0624, 0.4261, 0.5739, 116.70, 88.85, 116.70, 88.85, 0, 0, 0, 1, ok, ok, 98.1316, 27.8496, 98.1359, 28.2976, 98.1359, 28.2976, 117.00, 88.70, 117.00, 88.70, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
21.186, 3.8707, 0.0000, 3.7476, 1.7113, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.70, 88.85, 116.70, 88.85, 0.9901, -0.1400, -0.5420, 3.8326, 1.0648, 792.0000, 0.0000, 0, 23, 0.3480, 9.7764, 9.4284, 2.9368, 0.4205, 0.5795, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
21.982, 4.6909, 75.9048, 4.8299, 1.2553, 4.6909, 75.9048, 4.8299, 0.9506, 0.3103, 117.79, 88.31, 117.79, 88.31, 0.9506, 0.3103, 1.4557, 4.4593, 0.4936, 833.0000, 790.4641, 1, 25, 0.3899, 9.7779, 9.3880, 3.3535, 0.4094, 0.5906, 117.79, 88.31, 117.79, 88.31, 0, 0, 0, 1, ok, ok, 98.1356, 29.4881, 98.1358, 28.8929, 98.1358, 28.8929, 117.40, 88.50, 117.40, 88.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
22.826, 4.5530, 75.2132, 4.7279, 1.4871, 4.5530, 75.2132, 4.7279, 0.9965, 0.0836, 118.45, 87.99, 118.45, 87.99, 0.9965, 0.0836, 0.3805, 4.5371, 0.6854, 779.0000, 797.7320, 1, 24, 0.3699, 9.8098, 9.4399, 3.2916, 0.4082, 0.5918, 118.45, 87.99, 118.45, 87.99, 0, 0, 0, 1, ok, ok, 98.1442, 30.4638, 98.1383, 29.6783, 98.1383, 29.6783, 117.92, 88.25, 117.92, 88.25, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
23.761, 4.7968, 74.0406, 5.1046, 1.3443, 4.7968, 74.0406, 5.1046, 0.9745, 0.2245, 119.08, 87.67, 119.08, 87.67, 0.9745, 0.2245, 1.0771, 4.6743, 0.5739, 805.0000, 810.3660, 1, 25, 0.4371, 9.8098, 9.3727, 3.4400, 0.3702, 0.6298, 119.08, 87.67, 119.08, 87.67, 0, 0, 0, 1, ok, ok, 98.1436, 31.4091, 98.1399, 30.5437, 98.1399, 30.5437, 118.50, 87.96, 118.50, 87.96, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
