経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
104.342, 5.1340, 62.5047, 5.0745, 1.4964, 5.1210, 62.5047, 5.0745, 0.9972, 0.0743, 116.19, 89.14, 0.9972, 0.0743, 0.3815, 5.1198, 0.6813, 1010.0000, 959.9271, 1, 30, 0.5825, 9.8849, 9.3024, 3.6937, 0.4069, 0.5931, 116.19, 89.14, 116.19, 89.14, 0, 0, 1, 1, A:5.1340->5.1210, ok, 98.1604, 27.0478, 98.1573, 28.4887, 98.1573, 28.4887, 117.15, 88.66, 117.15, 88.66, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
105.258, 4.5474, 63.7306, 4.0730, 1.4287, 4.5474, 63.7306, 4.0730, 0.9899, 0.1416, 117.94, 88.28, 0.9899, 0.1416, 0.6440, 4.5015, 0.8328, 956.0000, 941.4636, 1, 29, 0.3213, 9.8368, 9.5156, 3.3216, 0.3682, 0.6318, 117.94, 88.28, 117.94, 88.28, 0, 0, 0, 1, ok, ok, 98.1708, 29.6586, 98.1614, 29.0736, 98.1614, 29.0736, 117.54, 88.47, 117.54, 88.47, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
106.228, 4.8944, 64.1209, 4.8284, 1.9889, 4.8944, 64.1209, 4.8284, 0.9139, -0.4060, 118.40, 88.04, 0.9139, -0.4060, -1.9871, 4.4729, 0.7301, 931.0000, 935.7318, 1, 28, 0.4822, 9.9020, 9.4198, 3.5370, 0.4178, 0.5822, 118.40, 88.04, 118.40, 88.04, 0, 0, 0, 1, ok, ok, 98.1579, 30.3572, 98.1603, 29.7154, 98.1603, 29.7154, 117.97, 88.26, 117.97, 88.26, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
107.252, 4.7846, 63.6020, 5.7950, 1.6152, 4.7846, 63.6020, 5.7950, 0.9990, -0.0444, 117.11, 88.68, 0.9990, -0.0444, -0.2126, 4.7798, 0.7338, 968.0000, 943.3659, 1, 28, 0.5150, 9.8378, 9.3228, 3.4619, 0.4452, 0.5548, 117.11, 88.68, 117.11, 88.68, 0, 0, 0, 1, ok, ok, 98.1577, 28.4263, 98.1595, 29.0709, 98.1595, 29.0709, 117.54, 88.47, 117.54, 88.47, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
108.191, 4.7457, 60.4727, 5.0790, 1.1967, 4.7457, 60.4727, 5.0790, 0.9308, 0.3655, 118.50, 87.99, 0.9308, 0.3655, 1.7344, 4.4174, 0.7529, 895.0000, 992.1829, 1, 27, 0.4110, 9.8404, 9.4294, 3.4391, 0.3732, 0.6268, 118.50, 87.99, 118.50, 87.99, 0, 0, 0, 1, ok, ok, 98.1573, 30.5116, 98.1589, 29.7912, 98.1589, 29.7912, 118.02, 88.23, 118.02, 88.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
108.964, 4.6797, 63.0192, 4.6145, 1.6684, 4.6797, 63.0192, 4.6145, 0.9952, -0.0975, 117.29, 88.61, 0.9952, -0.0975, -0.4561, 4.6575, 0.6990, 1058.0000, 952.0915, 1, 32, 0.3667, 9.8896, 9.5228, 3.3821, 0.4206, 0.5794, 117.29, 88.61, 117.29, 88.61, 0, 0, 0, 1, ok, ok, 98.1675, 28.6850, 98.1615, 29.2381, 98.1615, 29.2381, 117.65, 88.42, 117.65, 88.42, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
109.705, 4.2847, 0.0000, 6.5018, 2.2984, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 117.29, 88.61, 0.7468, -0.6651, -2.8496, 3.1998, 1.0488, 907.0000, 0.0000, 0, 27, 0.6994, 9.9051, 9.2057, 3.2062, 0.6229, 0.3771, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
110.445, 2.1363, 74.1177, 8.3068, 1.5428, 2.1363, 74.1177, 7.6781, 0.9996, 0.0280, 117.29, 88.61, 0.9996, 0.0280, 0.0598, 2.1354, 0.5928, 797.0000, 809.5229, 1, 24, 4.6760, 9.9215, 5.2455, 1.6227, 0.4843, 0.5157, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, Mean:8.3068->7.6781|sinPhi:0.9996->0.9996, feature_support_violation, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
111.285, 2.1454, 0.0000, 2.0672, 0.8653, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.48, 85.97, 0.7613, 0.6484, 1.3911, 1.6333, 1.4133, 723.0000, 0.0000, 0, 21, 0.2049, 7.5492, 7.3443, 2.0733, 0.2849, 0.7151, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
112.370, 1.4420, 0.0000, 1.6167, 2.2986, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.48, 85.97, 0.7467, -0.6652, -0.9592, 1.0767, 0.5359, 440.0000, 0.0000, 0, 13, 0.2430, 3.9748, 3.7317, 1.1519, 0.5227, 0.4773, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
